token,true,pred,index
AD-DIYAR,B-ORG,B-LOC,245
Eveningperformance,B-PER,O,392
MANCHESTER,B-LOC,B-ORG,487
UNITED,I-LOC,I-ORG,488
Hearts,B-ORG,O,602
Royal,B-LOC,B-ORG,824
Free,I-LOC,I-ORG,825
Hospital,I-LOC,I-ORG,826
School,I-LOC,I-ORG,827
of,I-LOC,I-ORG,828
Medicine,I-LOC,I-ORG,829
University,B-LOC,B-ORG,837
Sairyu,B-MISC,B-LOC,883
Maru,I-MISC,I-LOC,884
No,I-MISC,O,885
:,I-MISC,O,886
2,I-MISC,O,887
Pontiac,B-LOC,B-ORG,1229
Kevorkian,B-PER,B-MISC,1234
Muenster,B-LOC,B-ORG,1291
India,I-MISC,B-LOC,1445
NEW,B-LOC,B-ORG,1553
YORK,I-LOC,I-ORG,1554
Davenport,B-PER,B-ORG,1968
Olympic,I-MISC,B-MISC,2156
McCarthy,B-ORG,O,2370
McCarthy,B-ORG,B-PER,2377
C$,B-MISC,O,2387
C$,B-MISC,O,2389
Tenacity,B-ORG,O,2426
Eleusis,B-ORG,B-LOC,2439
CNR,B-ORG,O,2443
OTC,I-ORG,B-ORG,2752
Bunds,B-MISC,O,2771
Redmond,B-PER,B-LOC,3008
NT,B-MISC,B-ORG,3057
W-2,B-MISC,O,3095
St.,B-LOC,B-ORG,3139
Matthew,I-LOC,I-ORG,3140
's,I-LOC,I-ORG,3141
Amsterdam,B-LOC,B-ORG,3830
Verona,B-PER,B-LOC,4310
Hamlet,O,B-MISC,4638
Ennea,B-MISC,B-ORG,4657
Setubal,B-ORG,B-PER,5181
World,I-MISC,B-MISC,5417
1992,B-MISC,O,5421
European,I-MISC,B-MISC,5422
championship,I-MISC,O,5423
EPR,B-ORG,O,5649
Sultan,O,B-PER,5729
Swindon,B-ORG,B-LOC,6232
),O,I-ORG,6334
Sao,B-ORG,B-LOC,6345
Paulo,I-ORG,I-LOC,6346
Brazilian,B-MISC,B-ORG,6380
Football,I-MISC,I-ORG,6381
Confederation,I-MISC,I-ORG,6382
CBF,B-MISC,B-ORG,6384
Sao,B-ORG,B-LOC,6392
Paulo-Santos,I-ORG,I-LOC,6393
Florida,B-ORG,B-LOC,6667
Northcote,B-ORG,B-LOC,7017
College,I-ORG,I-LOC,7018
CBOT,O,B-ORG,7137
ARA,O,B-ORG,7256
225-share,O,B-MISC,7465
1991,O,B-MISC,7524
Airbus,B-MISC,B-ORG,7579
M3,B-LOC,B-MISC,7640
Hoare,I-ORG,B-ORG,8186
Kadian,B-MISC,B-ORG,8216
Faulding,B-ORG,B-PER,8224
Minneapolis,B-LOC,B-ORG,8660
Billings,B-LOC,O,8668
MT,B-LOC,O,8669
Wisc,B-LOC,B-ORG,8802
.,I-LOC,O,8803
Cultural,O,B-ORG,8922
Ministry,O,I-ORG,8923
Pierina,B-LOC,B-ORG,9051
Argentine,B-MISC,B-LOC,9496
2000,B-ORG,B-MISC,9559
Games,I-ORG,I-MISC,9560
N.J.,B-LOC,I-LOC,10056
Yates,I-ORG,I-PER,10516
California,B-MISC,B-LOC,10618
Proposition,I-MISC,O,10619
215,I-MISC,O,10620
International,B-MISC,B-ORG,10724
Petroleum,I-MISC,I-ORG,10725
Encyclopedia,I-MISC,I-ORG,10726
East,I-LOC,I-MISC,10822
Prince,B-PER,O,10960
Rainier,I-PER,B-PER,10961
against,I-MISC,O,10991
Sexual,I-MISC,O,10992
Exploitation,I-MISC,O,10993
of,I-MISC,O,10994
Children,I-MISC,O,10995
of,O,I-ORG,11035
Ohio,B-LOC,I-ORG,11036
Q4,I-ORG,O,11041
EUROPEAN,B-MISC,B-ORG,11350
COAL,O,I-ORG,11351
AND,O,I-ORG,11352
STEEL,O,I-ORG,11353
COMMUNITY,O,I-ORG,11354
BRAVES,B-ORG,B-LOC,11668
NEAGLE,B-PER,O,11670
EUROLIRA,B-ORG,B-MISC,11761
Mayor,B-PER,O,11911
Antonio,I-PER,B-PER,11912
Taichung,B-ORG,B-LOC,12093
division,I-ORG,O,12094
DECATUR,B-ORG,B-LOC,12219
/,O,I-LOC,12222
CLINTON,B-ORG,I-LOC,12223
AND,I-ORG,I-LOC,12224
CEDAR,I-ORG,B-LOC,12225
RAPIDS,I-ORG,I-LOC,12226
Area,B-MISC,B-ORG,12335
Electricity,I-MISC,I-ORG,12336
Boards,I-MISC,I-ORG,12337
Mediterranean,B-MISC,I-MISC,12689
WALES,B-LOC,B-ORG,13220
SAN,B-LOC,B-ORG,13222
MARINO,I-LOC,I-ORG,13223
Stadium,O,B-LOC,13552
post-Games,B-MISC,O,13639
STANDARD,B-ORG,O,13753
LIEGE,I-ORG,O,13754
Intertoto,B-MISC,B-ORG,13779
of,O,I-ORG,13784
Germany,B-LOC,I-ORG,13785
NYMEX,O,B-ORG,13830
U.S.,B-ORG,B-LOC,13912
Treasuries,I-ORG,B-MISC,13913
Chicago,B-MISC,B-LOC,13920
PMI,I-MISC,B-MISC,13921
PMI,O,B-MISC,13941
PIBOR,O,B-MISC,13951
East,B-ORG,B-LOC,13989
Dries,I-ORG,I-LOC,13990
Tajik,B-MISC,B-PER,14079
Surinam,B-LOC,B-PER,14130
REPUBLIKA,B-ORG,B-LOC,14813
All,B-ORG,B-MISC,15359
